CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
10077500000UT,CHIAVE AP3 ALI BLU TRASPARENTI P3,3907,22.86,8.01535E+12,50
10077500000UZ,CH. AP3 ALI BLU PER TECNOFERR P3,3907,22.86,8.01535E+12,
100780000,MAZZETTO 3 CH.CIFRATE AP3 E SEC.CARD,3907,89.73,8.01535E+12,50
10080000000CL,CHIAVE NUOVO RS3 ALI,3903,28.63,8.01535E+12,50
10A31210012,CIL.POM.CH.P.ANT.SOLO GAM,2850,85.57,8.01535E+12,
100800910,TESSERA AUTHENTICARD MULTILINGUE,3913,43.38,8.01535E+12,50
100800920,AUTHENTICARD AERO,6375,766.05,8.01535E+12,1
100800950,TESSERA ELETTRONICA CT5,6248,12.54,8.01535E+12,50
100800960,TESSERA ELETTRONICA CT6 1K,6248,5.45,8.01535E+12,50
100801920,AERO STARTER KIT,6375,896.73,8.01535E+12,1
100810000,CHIAVE AP4,3910,18.13,8.01535E+12,50
10081000000QM,SBOZZO AP4 OIKOS P6 1LIV (GRIGIO),3910,26.52,8.01535E+12,50
100810050,CHIAVE AP4 SENZA INSERTO,3910,16.32,8.01535E+12,50
10081020000QM,SBOZZO AP4 OIKOS P6 2LIV (ROSSO),3910,26.52,8.01535E+12,50
1008108000000KC,TESSERA X CILINDRO AP4 A CODICE,3918,60.97,8.01535E+12,1
10081600000VN,CHIAVE AP4 PROF. P1 PREFORATA,3910,22.68,8.01535E+12,50
10081600000VQ,CHIAVE AP4 PROF. P4 PREFORATA,3910,22.68,8.01535E+12,50
10081600000VT,CHIAVE AP4 PROF. P8 PREFORATA,3910,22.68,8.01535E+12,50
10081600000VU,CHIAVE AP4 PROF. PT PREFORATA,3910,22.68,8.01535E+12,50
10081600000VV,CHIAVE AP4 PROF. PZ PREFORATA,3910,22.68,8.01535E+12,50
100820000,SBOZZO NUOVO RS5,3903,28.96,8.01535E+12,50
1008208000000MK,SECURICARD MK RS5,3913,11.7,8.01535E+12,1
100830000,SBOZZO NUOVO RX,3920,23.39,8.01535E+12,50
1008308000000MK,SECURICARD MK RX,3913,11.14,8.01535E+12,1
101010031,"SBOZZO X CISA LOCKING-LINE POP 20,25MM",4904,0.71,8.01535E+12,50
101010041,SBOZZO X CISA LOCKING-LINE POP 30MM,4904,0.79,8.01535E+12,50
101010051,SBOZZO X CISA LOCKING-LINE POP 40MM,4904,0.88,8.01535E+12,50
101010061,"SBOZZO X CISA LOCKING-LINE POP 50,60,70MM",4904,1,8.01535E+12,50
101020011,SBOZZO LOGO X L.40,4901,1.07,8.01535E+12,50
101022001,SBOZZO LCKING LINE X 21010.20,4901,1.07,8.01535E+12,
101022011,SBOZZO LOGO X 21010.25,4901,1.07,8.01535E+12,
101022012,SBOZZO LOGO X 21010.25 SINISTRO,4901,1.07,8.01535E+12,
101023001,SBOZZO X 21010.30,4901,1.07,8.01535E+12,
101040011,SBOZZO X CISA LOCKING-LINE L20,4903,0.73,8.01535E+12,50
101040021,SBOZZO X CISA LOCKING-LINE L25,4903,0.73,8.01535E+12,50
101040022,SBOZZO X CISA LOCKING-LINE L25 SX,4903,0.73,8.01535E+12,50
101040031,SBOZZO X CISA LOCKING LINE L30,4903,0.73,8.01535E+12,50
101040041,SBOZZO X CISA LOCKING LINE L40,4903,0.73,8.01535E+12,50
101040051,SBOZZO X CISA LOCKING-LINE L50,4903,0.73,8.01535E+12,50
101053011,SBOZZO X 08010 4 PERNI,4901,1.07,8.01535E+12,50
101053012,SBOZZO X 08010 4 PERNI,4901,1.07,8.01535E+12,
101053021,SBOZZO X 21010-08010 5P,4901,1.07,8.01535E+12,50
101060100,SBOZZO TESTA C2000 5P PROF.SIMM.,1901,0.95,8.01535E+12,50
101070011,SBOZZO X C.2000 3P.,1901,0.95,8.01535E+12,50
101070012,SBOZZO X C.2000 3P.PROF.SX,1901,0.95,8.01535E+12,50
101070051,SBOZZO X C.2000 4P.,1901,0.95,8.01535E+12,50
101070052,SBOZZO X C.2000 4P.PROF.SX,1901,0.95,8.01535E+12,50
101070101,SBOZZO X C.2000 5P.,1901,0.95,8.01535E+12,50
101070102,SBOZZO X C.2000 5P.PROF.SX,1901,0.95,8.01535E+12,50
101210002,CHIAVE,1901,1.08,8.01535E+12,25
101220001,SBOZZO,1901,1.08,8.01535E+12,50
101220002,SBOZZO,1901,1.08,8.01535E+12,25
101310001,SBOZZO 952.10 PROFILO DESTRO,1901,0.95,8.01535E+12,50
101310002,SBOZZO 952.10 PROFILO SINISTRO,1901,0.95,8.01535E+12,50
101310101,SBOZZO,1901,1,8.01535E+12,50
101310102,SBOZZO,1901,1,8.01535E+12,50
101310201,SBOZZO,1901,1.1,8.01535E+12,50
101310202,SBOZZO,1901,1.1,8.01535E+12,50
101310251,SBOZZO,1901,2.97,8.01535E+12,50
101310301,CHIAVE,1901,1.1,8.01535E+12,50
101320001,SBOZZO,1901,0.95,8.01535E+12,50
101320002,SBOZZO,1901,0.95,8.01535E+12,50
101320101,SBOZZO,1901,1,8.01535E+12,50
101320102,SBOZZO,1901,1,8.01535E+12,50
101330001,SBOZZO,1901,0.95,8.01535E+12,50
101330002,SBOZZO,1901,0.95,8.01535E+12,50
101336001,SBOZZO,1901,0.7,8.01535E+12,50
101336002,SBOZZO,1901,0.7,8.01535E+12,50
101337001,SBOZZO,1901,0.7,8.01535E+12,50
101337002,SBOZZO,1901,0.7,8.01535E+12,50
101410001,SBOZZO,1901,0.85,8.01535E+12,50
101410002,SBOZZO,1901,0.85,8.01535E+12,50
101420001,SBOZZO,1901,0.85,8.01535E+12,50
10142000100AS,CHIAVE,1901,5.74,8.01535E+12,50
101420002,SBOZZO,1901,0.85,8.01535E+12,50
101425001,SBOZZO X CIL.OV.08210.01,1901,0.85,8.01535E+12,50
101425002,SBOZZO X CIL.OV. 08210.01,1901,0.85,8.01535E+12,50
101430001,SBOZZO,1901,0.78,8.01535E+12,50
101440001,CHIAVE,1901,0.78,8.01535E+12,50
102102000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
1021020000000SX,COPPIA CILINDRI PROF SX,1811,47.74,8.01535E+12,6
10210200012,COPPIA CIL. NICH.,1811,45.69,8.01535E+12,6
102104000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
102106000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
1021060000000SX,COPPIA CILINDRI        - CON PROF.CHIAVE SX,1811,47.74,8.01535E+12,6
1.02106E+12,COPPIA CILINDRO SMONTATO,1812,41.31,8.01535E+12,
102110000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
1021100000000SX,COPPIA CILINDRI,1811,47.74,8.01535E+12,6
102139000,COPPIA CILINDRI,1811,43.72,8.01535E+12,6
1021390000000SX,COPPIA CILINDRI - CON PROF.CHIAVE SX,1811,47.74,8.01535E+12,6
10213900012,COPPIA CILINDRI,1811,45.68,8.01535E+12,6
1021390001200SX,COPPIA CILINDRI - CON PROF.CHIAVE SX,1811,49.67,8.01535E+12,6
102142000,CILINDRI MM.70 PER 11323,1811,48.52,8.01535E+12,6
10214200012,CILINDRI MM.70 NICHELATO,1811,50.58,8.01535E+12,6
